Employee name,Email,Date of join,Password,User Type
James Walker,jamesfct@yopmail.com,05-06-2016,FCT0001,false
Velma Clemons,velmafct@yopmail.com,05-06-2016,FCT0002,false
Kibo Underwood,kibofct@yopmail.com,06-06-2016,FCT0003,false
Louis Mcgee,louisfct@yopmail.com,05-06-2016,FCT0004,false
Phyllis Paul,phyllisfct@yopmail.com,05-06-2016,FCT0005,true
Zenaida Decker,zenaidafct@yopmail.com,06-06-2016,FCT0006,true
Gillian Tillman,gillianfct@yopmail.com,07-06-2016,FCT0007,true
Constance Boone,boonefct@yopmail.com,05-06-2016,FCT0008,false
Giselle Lancaster,gisellefct@yopmail.com,05-06-2016,FCT0009,false
Kirsten Mcdowell,kirstenfct@yopmail.com,05-06-2016,FCT0010,true
Nived MK,nivedmk47@gmail.com,05-06-2016,FCT0011,true
